Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No)
D1160,1/21/2025 21:44,Appointment,12:30:00,Yes,Yes
D1161,1/20/2025 0:21,Exercise,16:00:00,Yes,No
D1162,1/26/2025 10:44,Hydration,15:30:00,Yes,Yes
D1163,01-01-2025 03:48,Hydration,15:30:00,No,No
D1164,1/16/2025 19:59,Exercise,20:00:00,No,No
D1165,1/24/2025 20:08,Exercise,15:00:00,Yes,Yes
D1166,1/20/2025 4:12,Appointment,17:30:00,No,No
D1167,1/16/2025 5:15,Exercise,14:00:00,Yes,Yes
D1168,1/18/2025 5:29,Hydration,20:00:00,Yes,Yes
D1169,1/26/2025 12:18,Medication,22:30:00,Yes,No
D1170,1/19/2025 19:51,Appointment,21:30:00,Yes,Yes
D1171,1/19/2025 23:24,Hydration,15:00:00,No,No
D1172,1/29/2025 8:35,Appointment,14:00:00,No,No
D1173,1/22/2025 9:30,Medication,14:00:00,Yes,Yes
D1174,1/15/2025 22:39,Exercise,19:00:00,No,No
D1175,1/24/2025 16:12,Exercise,06:00:00,Yes,No
D1176,1/30/2025 15:02,Appointment,08:30:00,Yes,No
D1177,1/24/2025 1:27,Medication,06:30:00,No,No
D1178,1/18/2025 3:37,Exercise,16:00:00,Yes,Yes
D1179,1/22/2025 21:26,Hydration,21:00:00,No,No
D1180,01-07-2025 20:19,Exercise,11:00:00,Yes,Yes
D1181,01-10-2025 10:19,Exercise,13:00:00,Yes,Yes
D1182,1/24/2025 12:12,Appointment,09:00:00,No,No
D1183,01-07-2025 02:26,Medication,17:30:00,Yes,Yes
D1184,1/30/2025 6:13,Hydration,11:30:00,No,No
D1185,1/20/2025 17:52,Appointment,21:00:00,Yes,No
D1186,01-07-2025 07:01,Exercise,13:30:00,No,No
D1187,1/30/2025 12:21,Medication,15:00:00,No,No
D1188,01-03-2025 19:13,Hydration,14:00:00,Yes,No
D1189,1/13/2025 12:48,Appointment,13:00:00,Yes,Yes
D1190,1/19/2025 13:18,Medication,17:30:00,No,No
D1191,01-06-2025 13:07,Exercise,14:30:00,No,No
D1192,01-12-2025 12:05,Appointment,07:30:00,Yes,Yes
D1193,1/21/2025 5:08,Hydration,14:00:00,No,No
D1194,01-03-2025 20:56,Exercise,16:30:00,Yes,Yes
D1195,01-11-2025 08:32,Medication,22:30:00,No,No
D1196,1/24/2025 8:01,Appointment,15:30:00,No,No
D1197,1/14/2025 8:56,Medication,13:00:00,Yes,Yes
D1198,01-11-2025 15:04,Exercise,14:00:00,No,No
D1199,01-04-2025 16:51,Exercise,14:30:00,No,No
D1200,01-12-2025 01:04,Hydration,13:30:00,No,No
D1201,01-02-2025 06:18,Appointment,06:00:00,No,No
D1202,01-01-2025 00:10,Hydration,10:00:00,No,No
D1203,01-08-2025 15:42,Hydration,21:30:00,No,No
D1204,1/18/2025 19:48,Medication,18:00:00,Yes,Yes
D1205,01-04-2025 07:45,Medication,15:30:00,Yes,Yes
D1206,1/25/2025 13:38,Appointment,10:00:00,No,No
D1207,01-05-2025 09:24,Medication,21:30:00,No,No
D1208,1/30/2025 7:46,Exercise,08:30:00,Yes,Yes
D1209,01-12-2025 01:58,Medication,09:00:00,Yes,Yes
D1210,01-12-2025 21:23,Hydration,14:30:00,No,No
D1211,1/21/2025 12:19,Hydration,12:00:00,No,No
D1212,1/20/2025 9:39,Appointment,10:00:00,Yes,Yes
D1213,1/23/2025 11:51,Medication,08:00:00,No,No
D1214,1/17/2025 21:39,Appointment,14:00:00,No,No
D1215,01-10-2025 23:30,Appointment,15:30:00,No,No
D1216,1/16/2025 22:06,Appointment,13:30:00,No,No
D1217,01-08-2025 20:15,Medication,21:30:00,No,No
D1218,1/15/2025 12:57,Appointment,22:00:00,No,No
D1219,01-12-2025 11:26,Exercise,16:30:00,Yes,Yes
D1220,1/18/2025 7:35,Hydration,08:00:00,Yes,No
D1221,01-03-2025 06:59,Hydration,14:30:00,No,No
D1222,1/19/2025 20:35,Appointment,16:30:00,Yes,Yes
D1223,1/18/2025 3:18,Appointment,09:30:00,No,No
D1224,1/20/2025 7:43,Hydration,11:30:00,Yes,Yes
D1225,1/22/2025 19:55,Hydration,14:30:00,No,No
D1226,1/17/2025 15:35,Exercise,20:30:00,Yes,Yes
D1227,01-07-2025 18:32,Hydration,12:00:00,No,No
D1228,1/25/2025 21:15,Medication,16:30:00,No,No
D1229,01-02-2025 22:22,Appointment,16:30:00,No,No
D1230,01-08-2025 16:44,Medication,17:30:00,Yes,Yes
D1231,01-10-2025 08:26,Appointment,15:00:00,No,No
D1232,1/16/2025 1:35,Appointment,14:00:00,Yes,Yes
D1233,01-05-2025 01:17,Hydration,21:30:00,No,No
D1234,1/20/2025 20:21,Appointment,11:00:00,Yes,Yes
D1235,01-12-2025 14:48,Appointment,20:00:00,No,No
D1236,01-10-2025 18:21,Exercise,20:30:00,No,No
D1237,1/20/2025 8:20,Medication,19:00:00,No,No
D1238,01-09-2025 08:14,Medication,19:00:00,No,No
D1239,01-02-2025 17:21,Appointment,16:00:00,Yes,Yes
D1240,1/23/2025 19:41,Exercise,06:00:00,Yes,Yes
D1241,1/16/2025 6:30,Exercise,11:30:00,Yes,Yes
D1242,01-11-2025 16:48,Hydration,22:30:00,No,No
D1243,1/17/2025 19:27,Exercise,19:00:00,No,No
D1244,1/14/2025 9:39,Medication,14:30:00,No,No
D1245,1/28/2025 1:51,Appointment,20:00:00,Yes,Yes
D1246,1/25/2025 22:09,Hydration,15:30:00,No,No
D1247,1/24/2025 15:06,Hydration,18:30:00,Yes,Yes
D1248,01-07-2025 08:54,Exercise,18:00:00,No,No
D1249,1/22/2025 21:25,Hydration,10:00:00,Yes,Yes
D1250,1/23/2025 22:08,Appointment,20:00:00,Yes,Yes
D1251,01-12-2025 10:52,Exercise,18:00:00,No,No
D1252,1/24/2025 3:33,Appointment,14:30:00,No,No
D1253,01-05-2025 07:07,Medication,15:30:00,Yes,Yes
D1254,01-11-2025 11:29,Appointment,06:00:00,No,No
D1255,1/20/2025 19:28,Medication,08:00:00,Yes,Yes
D1256,01-07-2025 16:46,Medication,21:30:00,No,No
D1257,1/14/2025 7:25,Medication,16:00:00,No,No
D1258,01-02-2025 01:15,Exercise,20:00:00,No,No
D1259,01-07-2025 12:02,Appointment,19:30:00,No,No
D1260,1/26/2025 19:14,Medication,06:30:00,No,No
D1261,1/17/2025 3:21,Exercise,16:00:00,No,No
D1262,1/29/2025 18:46,Hydration,16:30:00,Yes,Yes
D1263,01-05-2025 04:04,Hydration,19:30:00,No,No
D1264,01-03-2025 17:34,Hydration,10:30:00,Yes,Yes
D1265,1/17/2025 8:47,Hydration,09:30:00,No,No
D1266,1/26/2025 9:53,Hydration,10:30:00,Yes,Yes
D1267,1/14/2025 9:45,Medication,14:00:00,Yes,No
D1268,1/15/2025 0:00,Appointment,07:30:00,No,No
D1269,01-06-2025 02:15,Appointment,11:30:00,Yes,Yes
D1270,1/20/2025 21:39,Medication,11:00:00,No,No
D1271,1/29/2025 0:31,Medication,12:30:00,Yes,Yes
D1272,01-08-2025 11:00,Exercise,10:30:00,No,No
D1273,01-03-2025 22:02,Exercise,06:00:00,Yes,Yes
D1274,1/21/2025 18:26,Appointment,14:30:00,No,No
D1275,1/18/2025 4:05,Exercise,13:30:00,Yes,No
D1276,1/18/2025 23:01,Exercise,19:30:00,Yes,No
D1277,1/17/2025 12:22,Appointment,13:00:00,Yes,Yes
D1278,01-09-2025 16:25,Appointment,08:30:00,Yes,No
D1279,01-12-2025 08:56,Hydration,21:00:00,No,No
D1280,1/26/2025 10:03,Hydration,18:00:00,Yes,No
D1281,01-04-2025 05:44,Exercise,19:00:00,No,No
D1282,01-07-2025 07:00,Exercise,18:30:00,No,No
D1283,1/13/2025 1:03,Medication,20:30:00,Yes,No
D1284,01-02-2025 10:15,Hydration,12:30:00,No,No
D1285,1/13/2025 0:59,Appointment,08:30:00,Yes,Yes
D1286,01-11-2025 05:06,Appointment,20:00:00,Yes,No
D1287,1/14/2025 19:32,Medication,06:30:00,Yes,Yes
D1288,1/27/2025 12:22,Hydration,13:00:00,Yes,Yes
D1289,01-12-2025 23:46,Medication,06:30:00,No,No
D1290,1/14/2025 23:48,Hydration,14:30:00,No,No
D1291,1/17/2025 23:53,Medication,13:30:00,No,No
D1292,1/18/2025 14:19,Exercise,10:30:00,Yes,Yes
D1293,1/21/2025 14:35,Appointment,09:30:00,Yes,No
D1294,01-02-2025 01:14,Hydration,16:00:00,Yes,Yes
D1295,1/24/2025 19:42,Hydration,09:30:00,No,No
D1296,01-08-2025 14:53,Exercise,10:30:00,Yes,No
D1297,1/26/2025 21:13,Exercise,14:30:00,Yes,Yes
D1298,01-08-2025 06:18,Hydration,10:00:00,No,No
D1299,01-04-2025 17:08,Medication,15:30:00,Yes,Yes
D1300,01-01-2025 03:59,Appointment,14:00:00,No,No
D1301,1/13/2025 12:45,Appointment,21:00:00,Yes,Yes
D1302,1/19/2025 22:55,Exercise,13:30:00,Yes,Yes
D1303,1/22/2025 9:26,Exercise,18:30:00,No,No
D1304,1/16/2025 20:47,Appointment,14:00:00,No,No
D1305,1/19/2025 23:59,Exercise,18:30:00,Yes,Yes
D1306,01-06-2025 05:59,Exercise,19:30:00,No,No
D1307,1/25/2025 3:31,Appointment,16:30:00,No,No
D1308,01-06-2025 21:45,Medication,22:30:00,Yes,No
D1309,01-07-2025 02:45,Exercise,18:30:00,Yes,Yes
D1310,1/19/2025 10:13,Appointment,15:30:00,Yes,Yes
D1311,01-05-2025 13:22,Hydration,08:30:00,No,No
D1312,1/18/2025 3:36,Hydration,20:30:00,Yes,Yes
D1313,01-06-2025 03:43,Hydration,09:30:00,No,No
D1314,01-03-2025 15:22,Hydration,18:30:00,No,No
D1315,01-09-2025 03:36,Hydration,20:00:00,No,No
D1316,1/17/2025 0:40,Hydration,21:00:00,No,No
D1317,01-07-2025 13:21,Exercise,08:30:00,Yes,Yes
D1318,01-09-2025 06:42,Hydration,17:30:00,No,No
D1319,1/26/2025 3:24,Hydration,13:30:00,No,No
D1320,01-07-2025 13:14,Hydration,14:30:00,Yes,Yes
D1321,01-10-2025 10:40,Medication,20:30:00,No,No
D1322,1/22/2025 17:05,Exercise,22:00:00,No,No
D1323,1/20/2025 1:57,Appointment,20:30:00,No,No
D1324,01-02-2025 02:57,Hydration,12:30:00,No,No
D1325,1/19/2025 23:43,Exercise,18:00:00,No,No
D1326,1/16/2025 23:43,Medication,22:00:00,Yes,Yes
D1327,1/13/2025 16:02,Appointment,16:30:00,Yes,Yes
D1328,1/19/2025 22:32,Exercise,20:30:00,Yes,Yes
D1329,01-04-2025 07:17,Appointment,12:00:00,No,No
D1330,01-09-2025 21:11,Medication,10:30:00,No,No
D1331,1/16/2025 9:09,Appointment,12:00:00,No,No
D1332,01-02-2025 08:40,Appointment,18:30:00,Yes,Yes
D1333,1/20/2025 22:16,Hydration,08:00:00,Yes,Yes
D1334,1/17/2025 10:21,Medication,16:00:00,Yes,Yes
D1335,1/20/2025 22:49,Appointment,14:00:00,Yes,Yes
D1336,01-07-2025 11:15,Medication,06:30:00,No,No
D1337,01-10-2025 03:13,Exercise,12:00:00,Yes,No
D1338,01-10-2025 22:04,Exercise,08:00:00,Yes,No
D1339,01-11-2025 06:44,Medication,21:30:00,Yes,No
D1340,01-03-2025 01:46,Medication,19:00:00,Yes,Yes
D1341,1/22/2025 9:15,Exercise,12:30:00,Yes,Yes
D1342,1/21/2025 20:09,Exercise,21:00:00,Yes,No
D1343,1/29/2025 21:04,Medication,08:30:00,Yes,Yes
D1344,01-08-2025 03:55,Medication,14:30:00,No,No
D1345,01-10-2025 18:22,Exercise,16:00:00,No,No
D1346,1/29/2025 22:38,Hydration,19:30:00,No,No
D1347,1/27/2025 22:04,Medication,15:00:00,Yes,Yes
D1348,01-04-2025 10:40,Medication,12:30:00,Yes,Yes
D1349,01-12-2025 11:34,Medication,20:00:00,No,No
D1350,01-03-2025 06:23,Exercise,07:00:00,No,No
D1351,1/15/2025 10:31,Exercise,21:00:00,Yes,Yes
D1352,1/17/2025 9:54,Medication,18:00:00,Yes,Yes
D1353,01-12-2025 23:16,Exercise,09:00:00,No,No
D1354,01-04-2025 21:27,Medication,14:00:00,Yes,Yes
D1355,01-09-2025 07:03,Medication,20:30:00,Yes,Yes
D1356,01-12-2025 13:06,Hydration,11:30:00,Yes,No
D1357,01-10-2025 11:18,Medication,11:30:00,No,No
D1358,01-04-2025 07:36,Hydration,11:30:00,No,No
D1359,1/23/2025 19:36,Hydration,14:30:00,No,No
D1360,1/22/2025 18:41,Appointment,17:30:00,No,No
D1361,01-01-2025 06:34,Hydration,12:00:00,No,No
D1362,01-05-2025 10:51,Medication,07:00:00,No,No
D1363,1/21/2025 12:16,Exercise,20:00:00,Yes,Yes
D1364,1/27/2025 22:59,Hydration,08:30:00,No,No
D1365,01-06-2025 18:50,Medication,14:30:00,No,No
D1366,1/20/2025 0:15,Medication,06:30:00,No,No
D1367,01-02-2025 20:12,Medication,15:30:00,Yes,Yes
D1368,1/21/2025 1:35,Hydration,12:00:00,Yes,Yes
D1369,1/26/2025 15:49,Hydration,21:30:00,No,No
D1370,01-11-2025 15:51,Appointment,13:00:00,No,No
D1371,1/18/2025 1:31,Appointment,21:00:00,No,No
D1372,01-11-2025 09:42,Exercise,20:30:00,Yes,No
D1373,1/18/2025 13:54,Appointment,20:30:00,No,No
D1374,1/13/2025 15:21,Hydration,14:00:00,Yes,No
D1375,1/22/2025 4:37,Exercise,08:00:00,No,No
D1376,1/19/2025 15:49,Exercise,08:30:00,No,No
D1377,01-06-2025 08:07,Hydration,18:30:00,No,No
D1378,1/30/2025 7:31,Medication,17:30:00,Yes,Yes
D1379,1/30/2025 2:30,Exercise,19:30:00,No,No
D1380,1/30/2025 9:11,Medication,17:30:00,No,No
D1381,1/23/2025 7:59,Appointment,16:30:00,No,No
D1382,1/27/2025 12:56,Medication,10:30:00,Yes,Yes
D1383,01-04-2025 12:40,Exercise,16:00:00,Yes,Yes
D1384,1/30/2025 21:40,Hydration,08:00:00,Yes,Yes
D1385,01-04-2025 12:20,Appointment,13:30:00,No,No
D1386,1/27/2025 20:38,Exercise,06:30:00,Yes,Yes
D1387,01-01-2025 15:39,Medication,07:00:00,Yes,Yes
D1388,1/28/2025 18:32,Appointment,17:00:00,No,No
D1389,1/20/2025 3:07,Exercise,19:00:00,No,No
D1390,01-11-2025 02:51,Hydration,17:00:00,Yes,Yes
D1391,1/22/2025 21:30,Exercise,11:30:00,Yes,Yes
D1392,01-06-2025 09:37,Appointment,08:30:00,No,No
D1393,01-03-2025 17:14,Medication,10:30:00,Yes,No
D1394,1/29/2025 20:20,Exercise,15:00:00,No,No
D1395,01-05-2025 23:17,Exercise,17:30:00,No,No
D1396,01-08-2025 01:02,Medication,15:00:00,Yes,Yes
D1397,1/17/2025 18:16,Exercise,14:30:00,Yes,Yes
D1398,1/27/2025 15:12,Exercise,21:00:00,No,No
D1399,1/20/2025 6:57,Appointment,09:00:00,Yes,No
D1400,1/19/2025 15:33,Appointment,09:00:00,Yes,No
D1401,01-07-2025 12:28,Medication,12:00:00,Yes,Yes
D1402,01-11-2025 22:47,Hydration,11:00:00,No,No
D1403,1/28/2025 15:39,Exercise,15:30:00,No,No
D1404,01-02-2025 11:21,Appointment,20:00:00,No,No
D1405,01-02-2025 12:57,Exercise,12:00:00,No,No
D1406,01-01-2025 15:24,Hydration,22:30:00,Yes,Yes
D1407,1/22/2025 14:21,Hydration,20:00:00,No,No
D1408,01-06-2025 22:18,Hydration,11:30:00,No,No
D1409,1/27/2025 18:24,Appointment,16:00:00,No,No
D1410,1/22/2025 6:12,Medication,10:00:00,Yes,Yes
D1411,01-03-2025 13:15,Appointment,14:30:00,No,No
D1412,01-11-2025 21:32,Medication,12:30:00,Yes,Yes
D1413,1/20/2025 12:43,Exercise,14:00:00,Yes,Yes
D1414,01-08-2025 13:29,Appointment,19:30:00,Yes,Yes
D1415,1/21/2025 14:19,Appointment,21:00:00,Yes,Yes
D1416,01-02-2025 11:51,Exercise,10:30:00,No,No
D1417,1/17/2025 21:02,Appointment,15:00:00,Yes,Yes
D1418,1/16/2025 20:06,Appointment,20:00:00,Yes,Yes
D1419,1/19/2025 12:22,Medication,14:30:00,No,No
D1420,01-11-2025 16:45,Hydration,06:00:00,Yes,Yes
D1421,1/28/2025 6:26,Medication,14:30:00,No,No
D1422,01-08-2025 03:22,Medication,13:30:00,No,No
D1423,01-07-2025 02:34,Hydration,14:00:00,Yes,Yes
D1424,1/18/2025 0:34,Appointment,12:00:00,Yes,Yes
D1425,01-04-2025 12:33,Appointment,08:30:00,No,No
D1426,01-08-2025 04:03,Hydration,15:30:00,No,No
D1427,01-05-2025 15:10,Medication,13:30:00,Yes,Yes
D1428,1/14/2025 19:04,Medication,15:00:00,Yes,Yes
D1429,1/13/2025 0:32,Medication,11:30:00,No,No
D1430,1/30/2025 17:13,Medication,08:00:00,Yes,Yes
D1431,1/17/2025 21:57,Appointment,21:30:00,No,No
D1432,1/14/2025 21:38,Exercise,14:00:00,No,No
D1433,1/24/2025 2:38,Exercise,21:30:00,Yes,Yes
D1434,1/28/2025 16:39,Appointment,16:30:00,Yes,Yes
D1435,1/26/2025 0:13,Hydration,06:30:00,No,No
D1436,1/28/2025 9:19,Hydration,19:30:00,Yes,Yes
D1437,1/14/2025 18:53,Appointment,10:30:00,Yes,Yes
D1438,1/30/2025 18:25,Hydration,21:30:00,No,No
D1439,1/15/2025 21:47,Appointment,06:30:00,No,No
D1440,1/24/2025 17:37,Hydration,10:00:00,Yes,Yes
